scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,shoulder_poke_right,free,shoulder_left_03_hinge,hinge_deg,0.932645,False
underfilled,shoulder_poke_right,free,shoulder_left_04_hinge,hinge_deg,3.158999,False
underfilled,shoulder_poke_right,free,shoulder_right_00_hinge,hinge_deg,6.265044,False
underfilled,shoulder_poke_right,free,shoulder_right_01_hinge,hinge_deg,3.827559,False
underfilled,shoulder_poke_right,free,shoulder_right_02_hinge,hinge_deg,1.727023,False
underfilled,shoulder_poke_right,free,shoulder_right_03_hinge,hinge_deg,0.955566,False
underfilled,shoulder_poke_right,free,shoulder_right_04_hinge,hinge_deg,3.264962,False
underfilled,shoulder_poke_right,free,side_gusset_left_00_hinge,hinge_deg,6.519480,False
underfilled,shoulder_poke_right,free,side_gusset_left_01_hinge,hinge_deg,6.458653,False
underfilled,shoulder_poke_right,free,side_gusset_left_02_hinge,hinge_deg,6.379045,False
underfilled,shoulder_poke_right,free,side_gusset_right_00_hinge,hinge_deg,6.551100,False
underfilled,shoulder_poke_right,free,side_gusset_right_01_hinge,hinge_deg,6.490210,False
underfilled,shoulder_poke_right,free,side_gusset_right_02_hinge,hinge_deg,6.410275,False
underfilled,shoulder_poke_right,free,top_seam_00_hinge,hinge_deg,0.055745,False
underfilled,shoulder_poke_right,free,top_seam_01_hinge,hinge_deg,0.007129,False
underfilled,shoulder_poke_right,free,top_seam_02_hinge,hinge_deg,0.064334,False
underfilled,shoulder_poke_right,free,top_seam_03_hinge,hinge_deg,0.015811,False
underfilled,shoulder_poke_right,free,top_seam_04_hinge,hinge_deg,0.014752,False
underfilled,shoulder_poke_right,free,top_seam_05_hinge,hinge_deg,0.004388,False
underfilled,shoulder_poke_right,free,top_seam_06_hinge,hinge_deg,0.012763,False
underfilled,shoulder_poke_right,free,top_seam_07_hinge,hinge_deg,0.068724,False
underfilled,shoulder_poke_right,free,top_seam_08_hinge,hinge_deg,0.029245,False
underfilled,shoulder_poke_right,free,top_seam_09_hinge,hinge_deg,0.008688,False
underfilled,shoulder_poke_right,free,top_seam_10_hinge,hinge_deg,0.011738,False
underfilled,top_preload,free,back_face_00_hinge,hinge_deg,2.783853,False
underfilled,top_preload,free,back_face_01_hinge,hinge_deg,2.727870,False
underfilled,top_preload,free,back_face_02_hinge,hinge_deg,2.587517,False
underfilled,top_preload,free,back_face_03_hinge,hinge_deg,2.358482,False
underfilled,top_preload,free,bottom_sling_left_hinge,hinge_deg,0.636631,False
underfilled,top_preload,free,bottom_sling_right_hinge,hinge_deg,0.668688,False
underfilled,top_preload,free,bottom_sling_slide,slide_mm,3.223417,False
underfilled,top_preload,free,fold_patch_left_hinge,hinge_deg,22.227185,False
underfilled,top_preload,free,fold_patch_right_hinge,hinge_deg,16.982181,False
underfilled,top_preload,free,front_face_00_hinge,hinge_deg,2.670719,False
underfilled,top_preload,free,front_face_01_hinge,hinge_deg,2.613417,False
underfilled,top_preload,free,front_face_02_hinge,hinge_deg,2.472341,False
underfilled,top_preload,free,front_face_03_hinge,hinge_deg,2.242883,False
underfilled,top_preload,free,lower_belly_00_hinge,hinge_deg,3.498296,False
underfilled,top_preload,free,lower_belly_01_hinge,hinge_deg,3.484172,False
underfilled,top_preload,free,lower_belly_02_hinge,hinge_deg,3.414912,False
underfilled,top_preload,free,lower_belly_03_hinge,hinge_deg,3.404680,False
underfilled,top_preload,free,lower_belly_04_hinge,hinge_deg,3.497802,False
underfilled,top_preload,free,lower_belly_05_hinge,hinge_deg,3.495187,False
underfilled,top_preload,free,payload_aux_x,slide_mm,4.736545,False
underfilled,top_preload,free,payload_aux_y,slide_mm,2.445284,False
underfilled,top_preload,free,payload_aux_z,slide_mm,15.609779,False
underfilled,top_preload,free,payload_left_x,slide_mm,0.643855,False
underfilled,top_preload,free,payload_left_y,slide_mm,0.517818,False
underfilled,top_preload,free,payload_left_z,slide_mm,3.569500,False
underfilled,top_preload,free,payload_main_x,slide_mm,1.588246,False
underfilled,top_preload,free,payload_main_y,slide_mm,1.738855,False
underfilled,top_preload,free,payload_main_z,slide_mm,6.781311,False
underfilled,top_preload,free,payload_right_x,slide_mm,1.015795,False
underfilled,top_preload,free,payload_right_y,slide_mm,1.645346,False
underfilled,top_preload,free,payload_right_z,slide_mm,3.357815,False
underfilled,top_preload,free,shoulder_left_00_hinge,hinge_deg,6.063830,False
underfilled,top_preload,free,shoulder_left_01_hinge,hinge_deg,3.535636,False
underfilled,top_preload,free,shoulder_left_02_hinge,hinge_deg,1.214068,False
underfilled,top_preload,free,shoulder_left_03_hinge,hinge_deg,1.518275,False
underfilled,top_preload,free,shoulder_left_04_hinge,hinge_deg,3.791542,False
