scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,support_release,free,shoulder_left_00_hinge,hinge_deg,1.460006,False
underfilled,support_release,free,shoulder_left_01_hinge,hinge_deg,0.035265,False
underfilled,support_release,free,shoulder_left_02_hinge,hinge_deg,1.388546,False
underfilled,support_release,free,shoulder_right_00_hinge,hinge_deg,1.425905,False
underfilled,support_release,free,shoulder_right_01_hinge,hinge_deg,0.002537,False
underfilled,support_release,free,shoulder_right_02_hinge,hinge_deg,1.417728,False
underfilled,support_release,free,side_gusset_left_00_hinge,hinge_deg,1.678640,False
underfilled,support_release,free,side_gusset_left_01_hinge,hinge_deg,1.571705,False
underfilled,support_release,free,side_gusset_right_00_hinge,hinge_deg,1.612452,False
underfilled,support_release,free,side_gusset_right_01_hinge,hinge_deg,1.505376,False
underfilled,support_release,free,top_seam_00_hinge,hinge_deg,0.041258,False
underfilled,support_release,free,top_seam_01_hinge,hinge_deg,0.164900,False
underfilled,support_release,free,top_seam_02_hinge,hinge_deg,0.057653,False
underfilled,support_release,free,top_seam_03_hinge,hinge_deg,0.017146,False
underfilled,support_release,free,top_seam_04_hinge,hinge_deg,0.068590,False
underfilled,support_release,free,top_seam_05_hinge,hinge_deg,0.036602,False
underfilled,support_release,free,top_seam_06_hinge,hinge_deg,0.052503,False
underfilled,fold_brushing,free,back_face_00_hinge,hinge_deg,0.991598,False
underfilled,fold_brushing,free,back_face_01_hinge,hinge_deg,1.053760,False
underfilled,fold_brushing,free,back_face_02_hinge,hinge_deg,0.990244,False
underfilled,fold_brushing,free,back_face_03_hinge,hinge_deg,0.808373,False
underfilled,fold_brushing,free,bottom_sling_slide,slide_mm,0.048678,False
underfilled,fold_brushing,free,fold_patch_left_hinge,hinge_deg,0.825540,False
underfilled,fold_brushing,free,fold_patch_right_hinge,hinge_deg,1.206028,False
underfilled,fold_brushing,free,front_face_00_hinge,hinge_deg,0.892159,False
underfilled,fold_brushing,free,front_face_01_hinge,hinge_deg,0.956230,False
underfilled,fold_brushing,free,front_face_02_hinge,hinge_deg,0.892705,False
