scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,shoulder_poke_left,free,outer_upper_left_08_hinge,hinge_deg,17.068733,False
underfilled,shoulder_poke_left,free,outer_upper_left_09_hinge,hinge_deg,15.903173,False
underfilled,shoulder_poke_left,free,outer_upper_left_10_hinge,hinge_deg,15.079669,False
underfilled,shoulder_poke_left,free,outer_upper_right_00_hinge,hinge_deg,6.347958,False
underfilled,shoulder_poke_left,free,outer_upper_right_01_hinge,hinge_deg,6.350242,False
underfilled,shoulder_poke_left,free,outer_upper_right_02_hinge,hinge_deg,6.352739,False
underfilled,shoulder_poke_left,free,outer_upper_right_03_hinge,hinge_deg,6.352664,False
underfilled,shoulder_poke_left,free,outer_upper_right_04_hinge,hinge_deg,6.353907,False
underfilled,shoulder_poke_left,free,outer_upper_right_05_hinge,hinge_deg,6.356799,False
underfilled,shoulder_poke_left,free,outer_upper_right_06_hinge,hinge_deg,6.386525,False
underfilled,shoulder_poke_left,free,outer_upper_right_07_hinge,hinge_deg,6.389162,False
underfilled,shoulder_poke_left,free,outer_upper_right_08_hinge,hinge_deg,6.392841,False
underfilled,shoulder_poke_left,free,outer_upper_right_09_hinge,hinge_deg,6.391554,False
underfilled,shoulder_poke_left,free,outer_upper_right_10_hinge,hinge_deg,6.372710,False
underfilled,shoulder_poke_left,free,top_edge_occlusion_left_hinge,hinge_deg,0.006465,False
underfilled,shoulder_poke_left,free,top_edge_occlusion_right_hinge,hinge_deg,0.049986,False
underfilled,shoulder_poke_left,free,top_grasp_rail_pitch,hinge_deg,0.009865,False
underfilled,shoulder_poke_left,free,top_seam_00_hinge,hinge_deg,0.990915,False
underfilled,shoulder_poke_left,free,top_seam_01_hinge,hinge_deg,0.002391,False
underfilled,shoulder_poke_left,free,top_seam_02_hinge,hinge_deg,0.004724,False
underfilled,shoulder_poke_left,free,top_seam_03_hinge,hinge_deg,0.004570,False
underfilled,shoulder_poke_left,free,top_seam_04_hinge,hinge_deg,0.004184,False
underfilled,shoulder_poke_left,free,top_seam_05_hinge,hinge_deg,0.015793,False
underfilled,shoulder_poke_left,free,top_seam_06_hinge,hinge_deg,0.006850,False
underfilled,shoulder_poke_left,free,top_seam_07_hinge,hinge_deg,0.006569,False
underfilled,shoulder_poke_left,free,top_seam_08_hinge,hinge_deg,0.006271,False
underfilled,shoulder_poke_left,free,top_seam_09_hinge,hinge_deg,0.001351,False
underfilled,shoulder_poke_left,free,top_seam_10_hinge,hinge_deg,0.990148,False
underfilled,shoulder_poke_right,free,ballast_aux_1_x,slide_mm,0.053604,False
underfilled,shoulder_poke_right,free,ballast_aux_1_y,slide_mm,1.894206,False
underfilled,shoulder_poke_right,free,ballast_aux_1_z,slide_mm,1.633356,False
underfilled,shoulder_poke_right,free,ballast_aux_2_x,slide_mm,0.236855,False
underfilled,shoulder_poke_right,free,ballast_aux_2_y,slide_mm,1.527598,False
underfilled,shoulder_poke_right,free,ballast_aux_2_z,slide_mm,1.695637,False
underfilled,shoulder_poke_right,free,ballast_aux_3_x,slide_mm,0.182677,False
underfilled,shoulder_poke_right,free,ballast_aux_3_y,slide_mm,0.393954,False
underfilled,shoulder_poke_right,free,ballast_aux_3_z,slide_mm,2.538632,False
underfilled,shoulder_poke_right,free,ballast_main_x,slide_mm,0.042779,False
underfilled,shoulder_poke_right,free,ballast_main_y,slide_mm,3.014442,False
underfilled,shoulder_poke_right,free,ballast_main_z,slide_mm,0.925005,False
underfilled,shoulder_poke_right,free,inner_back_load_00_hinge,hinge_deg,0.037079,False
underfilled,shoulder_poke_right,free,inner_back_load_01_hinge,hinge_deg,0.039809,False
underfilled,shoulder_poke_right,free,inner_back_load_02_hinge,hinge_deg,0.046419,False
underfilled,shoulder_poke_right,free,inner_back_load_03_hinge,hinge_deg,0.040400,False
underfilled,shoulder_poke_right,free,inner_back_load_04_hinge,hinge_deg,0.037088,False
underfilled,shoulder_poke_right,free,inner_bottom_load_00_hinge,hinge_deg,0.000467,False
underfilled,shoulder_poke_right,free,inner_bottom_load_01_hinge,hinge_deg,0.005975,False
underfilled,shoulder_poke_right,free,inner_bottom_load_02_hinge,hinge_deg,0.001789,False
underfilled,shoulder_poke_right,free,inner_front_load_00_hinge,hinge_deg,0.048985,False
underfilled,shoulder_poke_right,free,inner_front_load_01_hinge,hinge_deg,0.048977,False
underfilled,shoulder_poke_right,free,inner_front_load_02_hinge,hinge_deg,0.048974,False
underfilled,shoulder_poke_right,free,inner_front_load_03_hinge,hinge_deg,0.048963,False
underfilled,shoulder_poke_right,free,inner_front_load_04_hinge,hinge_deg,0.048956,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_center_hinge,hinge_deg,0.741458,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_left_00_hinge,hinge_deg,1.991978,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_left_01_hinge,hinge_deg,1.978484,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_left_02_hinge,hinge_deg,1.973645,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_left_03_hinge,hinge_deg,1.968643,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_left_04_hinge,hinge_deg,1.963502,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_left_05_hinge,hinge_deg,1.954891,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_left_06_hinge,hinge_deg,1.949031,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_left_07_hinge,hinge_deg,1.941630,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_left_08_hinge,hinge_deg,1.934180,False
underfilled,shoulder_poke_right,free,outer_bottom_edge_left_09_hinge,hinge_deg,1.926733,False
